h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial
8aa8b1a26a97fff,-22.40669105886893,-41.791194432180454,0.018352265002803247,62.193514534957274,bom,30.0,32.193514534957274,0.7443603389908029,0.20357701173789783,0.2622941176470588,0.0,0.11953897089940513,0.0,0.0,0.8647058823529411,0.24009999999999992,0.0,0.06270662258718147,0.0,0.03092898089726498,0.10514684467178956,0.8882432619999738,0.07574222518372292,0.9603262469454844,4.557670503913522,0.23008115443738314,0.0,0.24416675890500444,0.36970310992651084,0.8439510232688985,3.713719480644624,55.52,77.75,0,0,0,0,0,0,0,0,0,0,0,0,0.10458234292608323,0.0,0.049278424138493704,0.023312086061383668,29565.028950640335,0.42365946401876253,0.2712963987833383,0.46248463755354546,0.924257774816277,0.0,0.0,0.0,0.0
8aa8b1b199affff,-22.43838548894984,-41.78836534822214,0.01835079990111661,11.392493343524043,muito ruim,11.392493343524043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07782950026995056,0.07782950026995056,0.0,0.0,0.9,0.4,1.3,-1.2221704997300495,6.92,21.83,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.11049356517371796,1.0,0.0,0.0,0.0,0.0
8aa8b1a2292ffff,-22.39622296508169,-41.79053049938905,0.01835274169859463,98.24341359539183,muito bom,52.54521623840559,45.69819735698624,1.2579965863897868,1.4,1.3,1.1,1.0,0.32432432432432434,0.0,0.28823529411764703,0.48999999999999994,1.1,0.6,0.5,0.7572162411862089,1.2,1.5,1.0,1.8,15.617772446017968,0.9956228661844582,0.0,8.797799346764418e-05,0.0,0.9957108441779258,14.622061601840041,98.95,96.6,0,0,1,0,0,0,0,0,0,0,0,0,0.45255584826566275,0.0,1.2064549821953436,0.3746101486599091,461827.92368573486,0.7437891162871456,9.77533260751602e-05,0.8289535288337397,0.0,0.0,0.0,0.0,0.0
8aa8b1b0b4d7fff,-22.423418493384638,-41.819201596471245,0.018351596866388334,30.0,ruim,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616656888866495,0.6616656888866495,0.0,0.0,0.9,0.4,1.3,-0.6383343111133506,20.17,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.3433614220802781,1.0,0.0,0.0,0.0,0.0
8aa8b1b1d21ffff,-22.44321847986289,-41.792857902262625,0.018350594562865356,9.996647809529993,muito ruim,9.996647809529993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06483750663483731,0.06483750663483731,0.0,0.0,0.9,0.4,1.3,-1.2351624933651628,6.31,18.59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1053116018529435,1.0,0.0,0.0,0.0,0.0
8aa8b1b0a8effff,-22.444240837643072,-41.81306752878695,0.018350619551112505,15.078402395212448,muito ruim,15.078402395212448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11683518198515262,0.11683518198515262,0.0,0.0,0.9,0.4,1.3,-1.1831648180148475,8.48,30.48,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.12605130154788746,1.0,0.0,0.0,0.0,0.0
8aa8b1a2472ffff,-22.413144537221516,-41.80625377122627,0.018352024003017657,56.8566508810467,médio,30.0,26.856650881046697,0.2707888940846941,0.10178850586894891,0.2622941176470588,0.0,0.4147270418958954,0.0,0.0,0.0,0.0,0.06793555498108766,0.12797269915751322,0.0,0.0892670530957924,0.0,0.8096334700487404,0.11910069495504504,1.0199080484183551,3.2834160801531307,0.0,0.0,0.3888478347012944,0.352359722017982,0.7412075567192764,2.542208523433854,48.61,76.11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.142227114390209,0.0,46489.464573375146,0.38616547588571554,0.4320531496681049,0.48624932821531014,0.880899305044955,0.0,0.0,0.0,0.0
8aa8b1a246dffff,-22.40559499817948,-41.80433588993033,0.01835236315071758,94.10081873166887,muito bom,59.20361664220013,34.897202089468735,1.6,0.8252881481677754,0.5352941176470588,0.3772999999999999,0.9559632570760008,0.45405405405405397,1.0,0.28823529411764703,0.5831,1.1,0.42834290589436214,0.0,0.7962420316437832,0.3798291236181703,1.4555736232335117,0.9282569014133968,1.6907880273540858,13.398267484219849,0.4181783484383299,0.014933137155991328,0.001309844066153814,0.028697239434641288,0.46311856909511634,12.935148915124733,93.56,95.37,0,0,0,0,0,0,0,0,0,1,0,0,0.19008106747196812,0.03733284288997832,1.2686338642249932,0.08421183960437355,362333.45531306753,0.6942552422750333,0.00145538229572646,0.7538353154875855,0.07174309858660322,0.0,0.0953414447530598,0.0,0.0
8aa8b1b19ceffff,-22.432242477852245,-41.78208930270576,0.018351058039235597,13.52165879799237,muito ruim,13.52165879799237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09886289064325812,0.09886289064325812,0.0,0.0,0.9,0.4,1.3,-1.201137109356742,7.8,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.11888290560038145,1.0,0.0,0.0,0.0,0.0
8aa8b1b190b7fff,-22.428218558936543,-41.7828804936685,0.018351245938140026,16.517750153213278,muito ruim,16.517750153213278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13591393685449366,0.13591393685449366,0.0,0.0,0.9,0.4,1.3,-1.1640860631455063,9.14,33.73,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.13366101955696733,1.0,0.0,0.0,0.0,0.0
