h3,lat,lon,bairro,cluster_id,score_final,direct_activity_score,inherited_score,actionability_score,priority_tier,flags
89a8b1a20c7ffff,-22.400462229851563,-41.804664238267335,Nova Holanda,2,96.95701623300282,64.61452629888738,32.342489934115434,96.95701623300282,visitar_agora,
89a8b1a20d7ffff,-22.40358238911867,-41.80473140135523,Bosque Azul,2,97.11807956379593,57.403630469341934,39.714449094454,96.67160385462277,visitar_agora,
89a8b1a2043ffff,-22.394317232563793,-41.7983883949706,Granja dos Cavaleiros,3,94.88853065019018,64.20310019627233,30.685430453917846,94.88853065019018,visitar_agora,
89a8b1a246fffff,-22.406702438801165,-41.80479856510032,Bosque Azul,2,94.61421087817207,64.30736911784294,30.306841760329135,94.61421087817207,visitar_agora,
89a8b1a2293ffff,-22.39602047264005,-41.78920966549905,Glória,4,94.1644976666533,81.97587330597375,12.188624360679555,94.1644976666533,visitar_agora,
89a8b1a2297ffff,-22.394412650446334,-41.792246879025114,Granja dos Cavaleiros,4,93.49134250478392,55.79032438421652,37.7010181205674,93.32850329930442,visitar_agora,
89a8b1a246bffff,-22.408310271883753,-41.80176131964275,Bosque Azul,5,92.96741090969557,64.54575783448003,28.421653075215545,92.96741090969557,visitar_agora,
89a8b1a2057ffff,-22.39582963897442,-41.801492727420865,Morro de São Jorge,3,91.99511351153517,63.466474061460744,28.528639450074422,91.99511351153517,visitar_agora,
89a8b1a208bffff,-22.40197441374596,-41.807768617991115,Nova Holanda,2,91.73917204788344,77.90204396785472,13.83712808002872,91.73917204788344,visitar_agora,
89a8b1a204bffff,-22.392804741792524,-41.79528407850397,Granja dos Cavaleiros,3,90.86829883987909,68.2253301393837,22.642968700495388,90.86829883987909,visitar_agora,
89a8b1a201bffff,-22.39734196101255,-41.80459707583665,Nova Holanda,2,90.20759274875022,57.48012086098956,32.72747188776066,90.20759274875022,visitar_agora,
89a8b1a2667ffff,-22.39762820836156,-41.78617243794275,Glória,4,89.60229873388231,75.48152219010507,14.12077654377724,89.60229873388231,visitar_agora,
89a8b1a209bffff,-22.40509451924718,-41.80783579643972,Bosque Azul,2,89.43937951109142,81.30201538011241,8.137364130979009,89.43937951109142,visitar_agora,
89a8b1a2283ffff,-22.392900044697363,-41.78914257921829,Aroeira,4,86.6463683267329,73.66411393657748,12.982254390155418,86.6463683267329,visitar_agora,
89a8b1a229bffff,-22.394507836260033,-41.786105366367785,Aroeira,4,85.94757524925917,70.67035708043655,15.277218168822628,85.94757524925917,visitar_agora,
89a8b1a2287ffff,-22.39129216667245,-41.79217977803908,Visconde de Araújo,9,84.95199433314839,62.72225297514365,22.229741358004745,84.95199433314839,visitar_agora,
89a8b1a2467ffff,-22.408214515157237,-41.80790297554567,Bosque Azul,7,84.58843529868629,68.37349742778565,16.21493787090064,84.58843529868629,visitar_agora,
89a8b1a2083ffff,-22.403486513233915,-41.81087301364398,Bosque Azul,10,82.06746942038572,72.89077165406988,9.17669776631584,82.06746942038572,visitar_agora,
89a8b1a208fffff,-22.400366351923928,-41.81080582049237,Nova Holanda,6,81.95676234539174,59.45071943191156,22.50604291348018,81.95676234539174,visitar_agora,
89a8b1a2017ffff,-22.39724608104175,-41.81073862799825,Nova Holanda,6,81.30038333541071,70.94152071150876,10.358862623901956,81.30038333541071,visitar_agora,
89a8b1a228bffff,-22.39138735461304,-41.78603829544917,Aroeira,4,80.81687839164975,76.18935305784676,4.627525333802993,80.81687839164975,visitar_agora,
89a8b1a228fffff,-22.389779507215444,-41.78907549359401,Aroeira,9,80.15970946078895,63.493121181921985,16.66658827886696,80.15970946078895,visitar_agora,
89a8b1a2093ffff,-22.406606564958963,-41.81094020745306,Bosque Azul,10,79.45817542892758,64.48299761790778,14.97517781101979,79.45817542892758,visitar_agora,
89a8b1a20bbffff,-22.398758203664695,-41.81384300884203,Nova Holanda,6,78.86558592460477,60.7939363380096,18.07164958659517,78.86558592460477,visitar_agora,
89a8b1a2087ffff,-22.401878420773496,-41.813910216696115,Nova Holanda,10,78.49580555930144,64.28859063963014,14.207214919671301,78.49580555930144,visitar_agora,
89a8b1a2097ffff,-22.40499852830358,-41.81397742520782,Bosque Azul,10,77.53773435277486,69.54114396643843,7.996590386336436,77.53773435277486,visitar_agora,
89a8b1a22b3ffff,-22.389684202197408,-41.79521696281316,Visconde de Araújo,9,77.35435211279626,62.795976636872595,14.558375475923668,77.35435211279626,visitar_agora,
89a8b1a200bffff,-22.394221582614406,-41.804529914063124,Morro de São Jorge,3,77.01029855885126,58.05432436798187,18.95597419086939,77.01029855885126,visitar_agora,
89a8b1a2047ffff,-22.392709206833686,-41.80142558100802,Morro de São Jorge,3,76.65307199464115,57.57337625042274,19.079695744218412,76.65307199464115,visitar_agora,
89a8b1a254bffff,-22.403390405203194,-41.81701462879296,Bosque Azul,10,75.75725511656076,69.58489870934196,6.1723564072188,75.75725511656076,visitar_agora,
89a8b1a20abffff,-22.395637876989937,-41.81377580164555,Nova Holanda,6,75.62510793806901,67.21875321186866,8.406354726200348,75.62510793806901,visitar_agora,
89a8b1a200fffff,-22.39261343982283,-41.80756708658929,Nova Holanda,6,75.09635391597615,70.60783102728233,4.488522888693822,75.09635391597615,visitar_agora,
89a8b1a20b3ffff,-22.40027024187804,-41.816947405579164,Nova Holanda,6,74.66739888298238,66.37476990472702,8.292628978255365,74.66739888298238,visitar_agora,
89a8b1a242bffff,-22.40972650708634,-41.811007401919625,Bosque Azul,7,74.4692387549954,79.15604268327894,0.0,74.4692387549954,visitar_agora,
89a8b1a22bbffff,-22.38817157336555,-41.79211267770965,Visconde de Araújo,9,74.33594911856719,55.13439772025301,19.201551398314173,74.33594911856719,visitar_agora,
89a8b1a2213ffff,-22.38826676343334,-41.785971225186884,Aroeira,9,72.26945154306944,56.406348061446785,15.863103481622652,72.26945154306944,visitar_agora,
89a8b1a2477ffff,-22.411334401463392,-41.80797015530897,Bosque Azul,7,71.04958939970555,69.33245763439493,1.7171317653106257,71.04958939970555,visitar_agora,
89a8b1a2217ffff,-22.38665886020702,-41.789008408626195,Aroeira,9,69.19615978615106,65.54686846709072,3.649291319060339,69.19615978615106,visitar_agora,
89a8b1a254fffff,-22.401782195669934,-41.820051818191544,Nova Holanda,11,68.63550477794358,58.179574848466,10.455929929477584,68.63550477794358,visitar_agora,
89a8b1a243bffff,-22.41284633960329,-41.8110745970437,Bosque Azul,7,66.95824752424284,74.04789782775248,0.0,66.95824752424284,visitar_agora,
89a8b1a2543ffff,-22.40490230520119,-41.82011905676481,Bosque Azul,11,66.84504053430517,62.310606700192174,4.5344338341129955,66.84504053430517,visitar_agora,
89a8b1a2547ffff,-22.403294065028554,-41.82315624666106,Bosque Azul,11,62.66748767350514,66.50699023869002,0.0,62.66748767350514,visitar_agora,
89a8b1a2433ffff,-22.414358193294124,-41.81417905468868,Virgem Santa,12,62.2292025893121,61.897497270744736,0.33170531856736574,62.2292025893121,visitar_agora,
