h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial,rank
8aa8b1a20d8ffff,-22.402772932244048,-41.79944798228746,0.018352474870464888,99.84552008238929,muito bom,49.9287017331356,49.91681834925369,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.7111021939961247,0.6,0.0,0.9794442874026761,1.2,1.5,1.0,1.7563011051858972,18.046847586584697,1.327759020537663,0.0,7.283914826999492e-07,0.0,1.3277597489291457,16.71908783765555,100.0,99.49,0,0,0,0,0,0,0,0,0,0,0,0,0.6035268275171195,0.0,1.560525746870692,0.5465090744983208,398565.0145274568,0.7792928824467152,8.093238696666102e-07,0.7799657444186747,0.0,0.11243387276569075,0.0,0.0,0.0,11
8aa8b1a20d1ffff,-22.404082809988353,-41.8012315020967,0.018352421327422083,99.83007209062822,muito bom,52.68257675267057,47.14749533795765,1.6,1.4,1.3,1.1,1.0,1.2,1.0,0.823529411764706,0.7,0.8936736927530877,0.44406526607657076,0.0,1.0,1.0481100492726205,1.5,0.9899934403187868,1.8,17.799371860185772,1.0819677615261414,0.0,1.02889109550522e-05,0.004002623872485289,1.0859806743095817,16.71339118587619,100.0,99.43,0,0,0,0,0,0,0,0,0,0,0,0,0.4918035279664279,0.0,1.6345999746922715,0.23237627098285948,386431.5400421974,0.7636303481626914,1.1432123283391334e-05,0.823277549789834,0.010006559681213223,0.06965729672896248,0.0,0.0,0.0,12
8aa8b1a20d17fff,-22.40498791765404,-41.80037331225435,0.018352376791153185,99.81462409886714,muito bom,57.654188180147024,42.16043591872012,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.7092771863758497,0.4362040859854664,0.0,0.7998424222895375,1.2,1.5,0.8674654817261922,1.7332168777044838,17.54600605408153,0.7847313073764951,0.0,3.034621511943279e-06,0.053013807309523125,0.8377481493075302,16.708257904774,100.0,99.38,0,0,0,0,1,0,0,0,0,0,0,0,0.3566960488074977,0.0,1.2743702826959116,0.27141791287030825,338604.28603340697,0.7310093350090734,3.3718016799369767e-06,0.7707584107748374,0.1325345182738078,0.0,0.12439995155344116,0.0,0.0,13
8aa8b1a26247fff,-22.399045503304194,-41.79541831166256,0.01835263076411814,99.79917610710606,muito bom,47.7640792690552,52.03509683805086,1.6,1.4,1.3,1.1,1.0,1.2,0.7000000000000001,1.0,0.7,1.1,0.6,0.5,0.8610754539664972,1.2,1.5,1.0,1.4357160995613787,18.196791553527877,1.5678803501112604,0.0,8.559456618342088e-06,0.0,1.5678889095678787,16.628902643959997,100.0,99.33,0,0,0,0,0,0,0,0,0,0,0,0,0.7126728864142092,0.0,1.3719314443871418,0.942864514265144,428003.2295672039,0.8402095752846964,9.510507353713431e-06,0.6520977830423185,0.0,0.0,0.0,0.01794838923693413,0.0,14
8aa8b1a20cb7fff,-22.401463015931803,-41.79766447021686,0.018352528354112465,99.783728115345,muito bom,54.9988505420212,44.7848775733238,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.8894153416391128,0.6,0.0,0.6730347698492365,1.2,1.5,1.0,1.8,17.962450111488348,1.3593478451245462,0.0,1.1997963114968957e-07,0.0,1.3593479651041773,16.60310214638417,100.0,99.28,2,1,1,1,0,0,0,0,0,0,0,0,0.6178853841475209,0.0,1.0723306066485048,0.9133702161578572,414785.59648990835,0.8057040284521437,1.3331070127743285e-07,0.9076329590080308,0.0,0.0,0.0,0.26502588511384545,0.0,15
8aa8b1a26347fff,-22.4021657142437,-41.795485429323726,0.01835248819331762,99.76828012358393,muito bom,54.88097451773611,44.88730560584783,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.6604405483511278,0.6,0.5,0.2620947757026276,1.2,1.5,0.9455914460920278,1.8,17.76812677014578,1.1518040036174606,0.0,6.581418030634363e-08,0.02176342156318887,1.1735674909948297,16.59455927915095,100.0,99.23,0,0,0,0,0,0,1,0,0,0,0,0,0.523547274371573,0.0,0.4175894952523177,0.9851105611109465,369099.7777181298,0.7978226142689038,7.312686700704848e-08,0.8269842417041593,0.05440855390797217,0.0,0.0,0.04883894081471431,0.0,16
8aa8b1a26277fff,-22.399950631546844,-41.79456012101045,0.01835258617011485,99.75283213182286,muito bom,48.95608752000362,50.796744611819236,1.6,1.4,1.3,1.1,1.0,1.2,0.7000000000000001,1.0,0.7,1.0539914164194113,0.6,0.5,0.5347997500692917,1.2,1.5,1.0,1.6214335787043752,18.010224745193078,1.425305961225792,0.0,2.9224433857099274e-06,0.0,1.4253088836691776,16.5849158615239,100.0,99.18,0,0,0,0,0,0,0,0,0,0,0,0,0.6478663460117235,0.0,0.8520839726537983,1.1895178327683569,393607.60916260176,0.8325706026843075,3.2471593174554747e-06,0.7261727242695594,0.0,0.0,0.0,0.3955157133761646,0.0,17
8aa8b1a20d87fff,-22.40367804381036,-41.7985897918781,0.018352430315418885,99.73738414006179,muito bom,60.494883543061576,39.242500597000216,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.5928162349796994,0.6,0.0,0.6668637301272367,1.2,1.5,0.9680151150196097,1.8,17.627695080126543,1.1013312941670563,0.0,3.34361835903915e-08,0.012793953992156127,1.1141252815953961,16.513569798531147,100.0,99.12,0,0,0,1,0,0,0,0,1,0,0,0,0.5006051337122983,0.0,1.0624984329404117,0.5798191805482081,377852.57603393635,0.7542705430518607,3.7151315100435e-08,0.8810297022244783,0.031984884980390316,0.0014470919107566081,0.05632811043524351,0.0,0.0,18
8aa8b1a20d9ffff,-22.40257053739856,-41.79812713023055,0.018352479339379738,99.72193614830071,muito bom,56.9475372739455,42.774398874355214,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.7046469621698145,0.6,0.0,0.6169548861959215,1.2,1.5,1.0,1.8,17.721601848365736,1.2225059886192868,0.0,2.982206794810895e-08,0.0,1.2225060184413548,16.499095829924382,100.0,99.07,1,1,1,0,0,0,0,0,0,1,0,0,0.5556845402814939,0.0,0.9829798355550475,0.727705612162611,399423.91082056024,0.7817787388156365,3.313563105345439e-08,0.8823146742934842,0.0,0.0,0.0,0.0,0.0,19
8aa8b1a20da7fff,-22.404785535166468,-41.799052455159455,0.018352381281695036,99.70648815653963,muito bom,56.46634743583985,43.240140720699785,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.4931764778510446,0.6,0.0,0.6318734658799758,1.2,1.5,0.8368252665524225,1.8,17.36187521028344,0.8115130386581606,0.0,2.6883164301987736e-07,0.065269893379031,0.8767832008688347,16.485092009414604,100.0,99.02,0,0,0,0,0,0,0,0,0,0,0,0,0.3688695630264366,0.0,1.0067492607312825,0.42073022061585136,326644.26180030557,0.7154458244541884,2.9870182557764153e-07,0.8464194767902795,0.1631747334475775,0.0,0.009769706523697701,0.0015880100232585248,0.0,20
