h3,lat,lon,bairro,score_final,beach_proximity,actionability_scenario_beach_tourism,actionability_scenario_convenience_urban,score_scenario_beach_tourism,score_scenario_convenience_urban,delta_score_urban_minus_beach
8aa8b1b0a607fff,-22.43165890065254,-41.80533589853927,Costa do Sol,22.815840591306014,0.0,22.82,22.82,22.82,22.82,0.0
8aa8b1b0a60ffff,-22.4307540399034,-41.806194117761805,Costa do Sol,23.85662089694697,0.0,23.86,23.86,23.86,23.86,0.0
8aa8b1b0a617fff,-22.431456616942917,-41.80401498381532,Costa do Sol,22.30978622346945,0.0,22.31,22.31,22.31,22.31,0.0
8aa8b1b0a61ffff,-22.43055176117396,-41.80487320449369,Costa do Sol,23.38853622611517,0.0,23.39,23.39,23.39,23.39,0.0
8aa8b1b0a627fff,-22.432766025057965,-41.80579859421796,Costa do Sol,22.202746921120248,0.0,22.2,22.2,22.2,22.2,0.0
8aa8b1b0a827fff,-22.44826418363949,-41.812276505168015,Riviera Fluminense,11.890086809517689,0.0,11.89,11.89,11.89,11.89,0.0
8aa8b1b0a82ffff,-22.44735945620038,-41.813134737634044,Riviera Fluminense,12.646180528822502,0.0,12.65,12.65,12.65,12.65,0.0
8aa8b1b0a837fff,-22.44806199279314,-41.810955552704385,Riviera Fluminense,11.907657729567742,0.0,11.91,11.91,11.91,11.91,0.0
8aa8b1b0a847fff,-22.445549959710746,-41.81485119553547,Riviera Fluminense,14.140368077182067,0.0,14.14,14.14,14.14,14.14,0.0
8aa8b1b0a84ffff,-22.44464519066176,-41.815709420970116,Riviera Fluminense,14.87879739694218,0.0,14.88,14.88,14.88,14.88,0.0
8aa8b1b0a857fff,-22.445347783808234,-41.81353024745572,Riviera Fluminense,14.238869322269936,0.0,14.24,14.24,14.24,14.24,0.0
8aa8b1b0a85ffff,-22.444443019739793,-41.81438847435284,Riviera Fluminense,14.984996095603481,0.0,14.98,14.98,14.98,14.98,0.0
8aa8b1b0a867fff,-22.446656884598376,-41.8153139183501,Riviera Fluminense,13.298242568648869,0.0,13.3,13.3,13.3,13.3,0.0
8aa8b1b0a79ffff,-22.432159158987716,-41.80183584568182,Costa do Sol,20.933089697232067,0.0,20.93,20.93,20.93,20.93,0.0
8aa8b1b0a7a7fff,-22.43437339970388,-41.80276122683418,Costa do Sol,19.76654898602135,0.0,19.77,19.77,19.77,19.77,0.0
8aa8b1b0a7affff,-22.43346858055356,-41.80361945307507,Costa do Sol,20.781111411252528,0.0,20.78,20.78,20.78,20.78,0.0
8aa8b1b0a7b7fff,-22.434171101051476,-41.80144030774629,Costa do Sol,19.335432995416483,0.0,19.34,19.34,19.34,19.34,0.0
8aa8b1b0a807fff,-22.447157270335694,-41.81181378663112,Riviera Fluminense,12.685018117781027,0.0,12.69,12.69,12.69,12.69,0.0
8aa8b1b0a80ffff,-22.44625253400713,-41.81267201821501,Riviera Fluminense,13.446532248517725,0.0,13.45,13.45,13.45,13.45,0.0
8aa8b1b0a817fff,-22.446955073295413,-41.81049283668232,Riviera Fluminense,12.666337559804198,0.0,12.67,12.67,12.67,12.67,0.0
8aa8b1b0a81ffff,-22.446050341948407,-41.8113510697266,Riviera Fluminense,13.46459681629616,0.0,13.46,13.46,13.46,13.46,0.0
8aa8b1b0a757fff,-22.432968291411104,-41.80711951251949,Costa do Sol,22.590816157690018,0.0,22.59,22.59,22.59,22.59,0.0
8aa8b1b0a75ffff,-22.432063434567183,-41.80797773116865,Virgem Santa,23.664682935020043,0.0,23.66,23.66,23.66,23.66,0.0
8aa8b1b0a767fff,-22.434277643548718,-41.80890313422432,Costa do Sol,22.157387053190096,0.0,22.16,22.16,22.16,22.16,0.0
8aa8b1b0a76ffff,-22.433372790610406,-41.80976135229841,Virgem Santa,23.163944975533592,0.0,23.16,23.16,23.16,23.16,0.0
8aa8b1b0a777fff,-22.434075394553822,-41.807582212347725,Costa do Sol,21.934185411827485,0.0,21.93,21.93,21.93,21.93,0.0
8aa8b1b0a787fff,-22.433266286882464,-41.802298535441246,Costa do Sol,20.308960004522405,0.0,20.31,20.31,20.31,20.31,0.0
8aa8b1b0a78ffff,-22.432361458846017,-41.80315676079772,Costa do Sol,21.3135939973943,0.0,21.31,21.31,21.31,21.31,0.0
